SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
,MONITORING UNITS (NETWORK AUDIO),,,,,Glensound,,,,,,,,,,,
,BELLA 4,,,,,Glensound,,,,,,,,,,,
,BELLA 16,,,,,Glensound,,,,,,,,,,,
,BELLA 16/R,,,,,Glensound,,,,,,,,,,,
,BELLA 22 MKII,,,,,Glensound,,,,,,,,,,,
,BELLA 22/R,,,,,Glensound,,,,,,,,,,,
,BELLA 32,,,,,Glensound,,,,,,,,,,,
,BELLA 32/R,,,,,Glensound,,,,,,,,,,,
,MUSICIAN MONITORING (NETWORK AUDIO),,,,,Glensound,,,,,,,,,,,
,SYMPHONY,,,,,Glensound,,,,,,,,,,,
,NETWORK AUDIO INTERFACES (DANTE/AES67/Ravenna/ST2110),,,,,Glensound,,,,,,,,,,,
,AoIP-22 MkII,,,,,Glensound,,,,,,,,,,,
,AoIP-22 AES,,,,,Glensound,,,,,,,,,,,
,AoIP-22u,,,,,Glensound,,,,,,,,,,,
,AoIP-44,,,,,Glensound,,,,,,,,,,,
,AoIP-44 AES,,,,,Glensound,,,,,,,,,,,
,AoIP-4I,,,,,Glensound,,,,,,,,,,,
,AoIP-4O,,,,,Glensound,,,,,,,,,,,
,DARK88 MKII,,,,,Glensound,,,,,,,,,,,
,DARK88/R,,,,,Glensound,,,,,,,,,,,
,DARK8O,,,,,Glensound,,,,,,,,,,,
,DARK8O/R,,,,,Glensound,,,,,,,,,,,
,DARK8ADI,,,,,Glensound,,,,,,,,,,,
,DARK1616,,,,,Glensound,,,,,,,,,,,
,DARK1616/R,,,,,Glensound,,,,,,,,,,,
,DARK16I,,,,,Glensound,,,,,,,,,,,
,DARK16O,,,,,Glensound,,,,,,,,,,,
,DARK1616D,,,,,Glensound,,,,,,,,,,,
,DARK1616DR,,,,,Glensound,,,,,,,,,,,
,Dante/SFPS,,,,,Glensound,,,,,,,,,,,
,Dante/SFP1,,,,,Glensound,,,,,,,,,,,
,Dante/SFP2,,,,,Glensound,,,,,,,,,,,
,AoIP-RK,,,,,Glensound,,,,,,,,,,,
,NETWORK SIGNAL CONTROL,,,,,Glensound,,,,,,,,,,,
,NSA16,,,,,Glensound,,,,,,,,,,,
,PARLIAMENTARY AUDIO,,,,,Glensound,,,,,,,,,,,
,EUROPEAN,,,,,Glensound,,,,,,,,,,,
,POWER AMPLIFIER (NETWORK AUDIO),,,,,Glensound,,,,,,,,,,,
,COMEDIA-R,,,,,Glensound,,,,,,,,,,,
,COMEDIA-V,,,,,Glensound,,,,,,,,,,,
,COMEDIA-VS,,,,,Glensound,,,,,,,,,,,
,REMOTE CONTROL (NETWORK AUDIO),,,,,Glensound,,,,,,,,,,,
,GlenController,,,,,Glensound,,,,,,,,,,,
,SDI Embedder/De-Embedder,,,,,Glensound,,,,,,,,,,,
,Charon 8P,,,,,Glensound,,,,,,,,,,,
,Charon 8R1,,,,,Glensound,,,,,,,,,,,
,Charon 8R2,,,,,Glensound,,,,,,,,,,,
,SPEAKER (NETWORK AUDIO),,,,,Glensound,,,,,,,,,,,
,DIVINE BLACK,,,,,Glensound,,,,,,,,,,,
,DIVINE WHITE,,,,,Glensound,,,,,,,,,,,
,DIVINE OEM BLACK,,,,,Glensound,,,,,,,,,,,
,DIVINE OEM WHITE,,,,,Glensound,,,,,,,,,,,
,GREATER DIVINE ,,,,,Glensound,,,,,,,,,,,
,NON NETWORK AUDIO,,,,,Glensound,,,,,,,,,,,
,BALANCE CONVERTERS,,,,,Glensound,,,,,,,,,,,
,See Signature Series,,,,,Glensound,,,,,,,,,,,
,BELT PACK RANGE,,,,,Glensound,,,,,,,,,,,
,GS-FW021 ,,,,,Glensound,,,,,,,,,,,
,GS-MCA001 ,,,,,Glensound,,,,,,,,,,,
,GS-CU004 ,,,,,Glensound,,,,,,,,,,,
,GS-HA013 ,,,,,Glensound,,,,,,,,,,,
,GS-POT001 & GS-POT002,,,,,Glensound,,,,,,,,,,,
,GS-FW008 ,,,,,Glensound,,,,,,,,,,,
,GS-COUGH002,,,,,Glensound,,,,,,,,,,,
,GS-CAP001 ,,,,,Glensound,,,,,,,,,,,
,GS-SW005,,,,,Glensound,,,,,,,,,,,
,COMMENTATORS EQUIPMENT (2 Part systems),,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCCU,,,,,Glensound,,,,,,,,,,,
,,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCCU/AIO2,,,,,Glensound,,,,,,,,,,,
,GDC-6432-AIO,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCU/3,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCU/3/CASE,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCU/3LEMO,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCCU/3LEMO,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCU/3PSU,,,,,Glensound,,,,,,,,,,,
,GDC-6432-dCU/SRC2,,,,,Glensound,,,,,,,,,,,
,GDC-6432/SFPS,,,,,Glensound,,,,,,,,,,,
,GDC-6432/N,,,,,Glensound,,,,,,,,,,,
,GDC-6432/L,,,,,Glensound,,,,,,,,,,,
,COMMENTATORS EQUIPMENT (stand alone systems),,,,,Glensound,,,,,,,,,,,
,GS-CU008 ,,,,,Glensound,,,,,,,,,,,
,GS-CU008/A,,,,,Glensound,,,,,,,,,,,
,GS-CU008/B,,,,,Glensound,,,,,,,,,,,
,GS-CU008/C,,,,,Glensound,,,,,,,,,,,
,Express Box MK II,,,,,Glensound,,,,,,,,,,,
,GS-CU001B/1 Mk II,,,,,Glensound,,,,,,,,,,,
,GS-CU001B/3 Mk II,,,,,Glensound,,,,,,,,,,,
,Talent Box/1 MkII,,,,,Glensound,,,,,,,,,,,
,Talent Box/3 MkII,,,,,Glensound,,,,,,,,,,,
,Talent Box/AES MkII,,,,,Glensound,,,,,,,,,,,
,Talent Remote,,,,,Glensound,,,,,,,,,,,
,GS-CU001/CASE,,,,,Glensound,,,,,,,,,,,
,Solo,,,,,Glensound,,,,,,,,,,,
,Solo Loop,,,,,Glensound,,,,,,,,,,,
,Solo 2,,,,,Glensound,,,,,,,,,,,
,GS-PSU122/X,,,,,Glensound,,,,,,,,,,,
,DIGITAL CONVERTERS,,,,,Glensound,,,,,,,,,,,
,CLODIS,,,,,Glensound,,,,,,,,,,,
,See SIGNATURE SERIES,,,,,Glensound,,,,,,,,,,,
,DISTRIBUTION AMPLIFIERS,,,,,Glensound,,,,,,,,,,,
,See Signature Series,,,,,Glensound,,,,,,,,,,,
,FOUR WIRE / IFB,,,,,Glensound,,,,,,,,,,,
,GS-FW018 ,,,,,Glensound,,,,,,,,,,,
,GS-FW035,,,,,Glensound,,,,,,,,,,,
,GS-FW031,,,,,Glensound,,,,,,,,,,,
,GS-FW024 ,,,,,Glensound,,,,,,,,,,,
,GS-FW023 ,,,,,Glensound,,,,,,,,,,,
,GS-FW022 ,,,,,Glensound,,,,,,,,,,,
,GS-FW012 ,,,,,Glensound,,,,,,,,,,,
,GS-FW008 ,,,,,Glensound,,,,,,,,,,,
,GS-FW021 ,,,,,Glensound,,,,,,,,,,,
,GS-FW006 ,,,,,Glensound,,,,,,,,,,,
,GS-FW028,,,,,Glensound,,,,,,,,,,,
,GS-FW029,,,,,Glensound,,,,,,,,,,,
,GS-FW032,,,,,Glensound,,,,,,,,,,,
,GS-FW033,,,,,Glensound,,,,,,,,,,,
,FREQUENCY SHIFTER (FEEDBACK DESTROYER),,,,,Glensound,,,,,,,,,,,
,ATOMIC HELIUM 02,,,,,Glensound,,,,,,,,,,,
,HEADPHONE AMPLIFIERS,,,,,Glensound,,,,,,,,,,,
,GS-HA014,,,,,Glensound,,,,,,,,,,,
,GS-HA014/PSU,,,,,Glensound,,,,,,,,,,,
,GS-HA010,,,,,Glensound,,,,,,,,,,,
,GS-HA011,,,,,Glensound,,,,,,,,,,,
,GS-HA008,,,,,Glensound,,,,,,,,,,,
,GS-HA009 ,,,,,Glensound,,,,,,,,,,,
,GS-HA005 ,,,,,Glensound,,,,,,,,,,,
,Top Hat M4,,,,,Glensound,,,,,,,,,,,
,Top Hat M3,,,,,Glensound,,,,,,,,,,,
,Top Hat M5,,,,,Glensound,,,,,,,,,,,
,HYBRIDS (TELEPHONE BALANCING UNITS),,,,,Glensound,,,,,,,,,,,
,COPPER 29/S,,,,,Glensound,,,,,,,,,,,
,COPPER 29/T,,,,,Glensound,,,,,,,,,,,
,COPPER 29/SD,,,,,Glensound,,,,,,,,,,,
,GS-CU012 (HAM),,,,,Glensound,,,,,,,,,,,
,RECCE,,,,,Glensound,,,,,,,,,,,
,GS-CUT101,,,,,Glensound,,,,,,,,,,,
,GS-PASTE201,,,,,Glensound,,,,,,,,,,,
,GS-PASTE201/R1,,,,,Glensound,,,,,,,,,,,
,GS-PASTE201/R2,,,,,Glensound,,,,,,,,,,,
,"MOBILE PHONE HYBRIDS (4G VO-LTE HD VOICE, 3G, 2G)",,,,,Glensound,,,,,,,,,,,
,NOMAD,,,,,Glensound,,,,,,,,,,,
,LODGE,,,,,Glensound,,,,,,,,,,,
,LODGE MODULE,,,,,Glensound,,,,,,,,,,,
,LODGE NT,,,,,Glensound,,,,,,,,,,,
,GS-MPI/ATN1,,,,,Glensound,,,,,,,,,,,
,GS-MPIHD/ATN2,,,,,Glensound,,,,,,,,,,,
,GS-MPIHD/ATN3,,,,,Glensound,,,,,,,,,,,
,GS-MPIHD/ATN4,,,,,Glensound,,,,,,,,,,,
,MONITORING (AUDIO),,,,,Glensound,,,,,,,,,,,
,GS-MON004,,,,,Glensound,,,,,,,,,,,
,GS-MM83,,,,,Glensound,,,,,,,,,,,
,POWER SUPPLIES,,,,,Glensound,,,,,,,,,,,
,GS-PSU122/X,,,,,Glensound,,,,,,,,,,,
,PSU-PLUGTOP-USBC-30W,,,,,Glensound,,,,,,,,,,,
,12v PSU,,,,,Glensound,,,,,,,,,,,
,9v PSU,,,,,Glensound,,,,,,,,,,,
,18v PSU,,,,,Glensound,,,,,,,,,,,
,SIGNATURE SERIES,,,,,Glensound,,,,,,,,,,,
,AUDIO DISTRIBUTION AMPLIFIERS,,,,,Glensound,,,,,,,,,,,
,ADA 2:6,,,,,Glensound,,,,,,,,,,,
,ADA 2:6G,,,,,Glensound,,,,,,,,,,,
,ADA 2S12MGT,,,,,Glensound,,,,,,,,,,,
,ADA 1:8G,,,,,Glensound,,,,,,,,,,,
,DDA 1:6,,,,,Glensound,,,,,,,,,,,
,BALANCE CONVERTERS,,,,,Glensound,,,,,,,,,,,
,U2B 2,,,,,Glensound,,,,,,,,,,,
,U2B 4,,,,,Glensound,,,,,,,,,,,
,U2B 8,,,,,Glensound,,,,,,,,,,,
,UBBU 2,,,,,Glensound,,,,,,,,,,,
,UBBU 4,,,,,Glensound,,,,,,,,,,,
,DIGITAL CONVERTERS,,,,,Glensound,,,,,,,,,,,
,ADC 1,,,,,Glensound,,,,,,,,,,,
,DAC 1,,,,,Glensound,,,,,,,,,,,
,ADDA 1,,,,,Glensound,,,,,,,,,,,
,HEADPHONE AMPLIFIERS,,,,,Glensound,,,,,,,,,,,
,HA1+,,,,,Glensound,,,,,,,,,,,
,HA1M,,,,,Glensound,,,,,,,,,,,
,HA2+,,,,,Glensound,,,,,,,,,,,
,HA6+,,,,,Glensound,,,,,,,,,,,
,POWER SUPPLY,,,,,Glensound,,,,,,,,,,,
,PS1,,,,,Glensound,,,,,,,,,,,
,SILENCE DETECTOR,,,,,Glensound,,,,,,,,,,,
,SD1+,,,,,Glensound,,,,,,,,,,,
,SWITCHERS/ SOURCE SELECTORS,,,,,Glensound,,,,,,,,,,,
,SW 8:2,,,,,Glensound,,,,,,,,,,,
,SW 8:2+,,,,,Glensound,,,,,,,,,,,
,SILENCE DETECTOR,,,,,Glensound,,,,,,,,,,,
,See Signature Series,,,,,Glensound,,,,,,,,,,,
,SIMULTANEOUS INTERPRETATION,,,,,Glensound,,,,,,,,,,,
,Interpreter Box,,,,,Glensound,,,,,,,,,,,
,SWITCHES & STEREO TO MONO CONVERTER,,,,,Glensound,,,,,,,,,,,
,GS-SW002A,,,,,Glensound,,,,,,,,,,,
,GS-SW008A,,,,,Glensound,,,,,,,,,,,
,GS-COUGH001 ,,,,,Glensound,,,,,,,,,,,
,SW 8:2 and SW 8:2+,,,,,Glensound,,,,,,,,,,,
,TRRS INTERFACES,,,,,Glensound,,,,,,,,,,,
,GS-TRRS/PC,,,,,Glensound,,,,,,,,,,,
,GS-TRRS,,,,,Glensound,,,,,,,,,,,
,GS-TRRS/X3,,,,,Glensound,,,,,,,,,,,
,TALKBACK,,,,,Glensound,,,,,,,,,,,
,GS-TBMM001 ,,,,,Glensound,,,,,,,,,,,
,GS-TBMM002,,,,,Glensound,,,,,,,,,,,
,TIMECODE READER,,,,,Glensound,,,,,,,,,,,
,TR-12,,,,,Glensound,,,,,,,,,,,
,TR-12D,,,,,Glensound,,,,,,,,,,,
,TRANSFORMER ISOLATION,,,,,Glensound,,,,,,,,,,,
,GS-ET1,,,,,Glensound,,,,,,,,,,,
,GS-ET2,,,,,Glensound,,,,,,,,,,,
,GS-ET4,,,,,Glensound,,,,,,,,,,,
,USB AUDIO DEVICES,,,,,Glensound,,,,,,,,,,,
,MINI CUB,,,,,Glensound,,,,,,,,,,,
,LEGACY PRODUCTS,,,,,Glensound,,,,,,,,,,,
,"Glensound legacy products are some of our classic designs that are still available to order, but not held in stock.",,,,,Glensound,,,,,,,,,,,
,LINE IDENTIFICATION,,,,,Glensound,,,,,,,,,,,
,GS1U-028B,,,,,Glensound,,,,,,,,,,,
,GS1U-042 ,,,,,Glensound,,,,,,,,,,,
,GS-PLI001 ,,,,,Glensound,,,,,,,,,,,
,GSOSC001,,,,,Glensound,,,,,,,,,,,
,GS-LI001,,,,,Glensound,,,,,,,,,,,
,GS-LI002,,,,,Glensound,,,,,,,,,,,
,MIC AMPLIFIERS,,,,,Glensound,,,,,,,,,,,
,GS-1U048,,,,,Glensound,,,,,,,,,,,
,MIXERS,,,,,Glensound,,,,,,,,,,,
,GS1U-040 ,,,,,Glensound,,,,,,,,,,,
,GS1U-040V ,,,,,Glensound,,,,,,,,,,,
,DITTO 414J,,,,,Glensound,,,,,,,,,,,
,DITTO 418J,,,,,Glensound,,,,,,,,,,,
,DITTO 613J,,,,,Glensound,,,,,,,,,,,
,DITTO 616J,,,,,Glensound,,,,,,,,,,,
,GS-MIX011,,,,,Glensound,,,,,,,,,,,
,"These prices are in Pounds Sterling, exclude VAT and carriage, ",,,,,Glensound,,,,,,,,,,,
,and are subject to change.  E & OE.,,,,,Glensound,,,,,,,,,,,
,  Please call Glensound to confirm pricing information.,,,,,Glensound,,,,,,,,,,,
,Glensound,,,,,Glensound,,,,,,,,,,,
,"The Design Buildings, 6 Brooks Place, Maidstone, Kent, ME14 1HE, UK",,,,,Glensound,,,,,,,,,,,
,Tel: +44 (0) 1622 753662,,,,,Glensound,,,,,,,,,,,
,Email:  sales@glensound.com     Web:  www.glensound.com,,,,,Glensound,,,,,,,,,,,
